sport,val
W Tennis,75
M Tennis,66.66666666666666
W Golf,100
W Basketball,83.33333333333334
M Basketball,81.25
W Softball,100
W Field Hockey,79.3103448275862
Wrestling,100
M Soccer,87.5
W Soccer, 100 
M Lacrosse,95.65217391304348
W Rowing,85.96491228070175
Swim,93.22033898305084
XC Track,87.5
Football,100
