sport,val
W Tennis,0
M Tennis,22.22222222222222
W Golf,20
W Basketball,16.666666666666664
M Basketball,12.5
W Softball,23.52941176470588
W Field Hockey,27.586206896551722
Wrestling,29.03225806451613
M Soccer,31.25
W Soccer,32.25806451612903
M Lacrosse,17.391304347826086
W Rowing,26.31578947368421
Swim,22.033898305084744
XC Track,32.5
Football,51.9607843137255
