candidate,Hillary Clinton, Donald Trump, Gary Johnson, Jill Stein, Other,Don't know, Won't vote.
Jane Dittmar,.9061,.021,.0101,.0204,0,.0325,0
Tom Garrett,.2137,.1739,.264,.0245,.1185,.2053,0
Unsure,.5761,.026,.1658,0,0,.182,.0501
